stop_id_clean,canonical_stop_name,canonical_name_rows,stop_name_variant_count,total_named_rows,stop_name_examples
3547,Cinema @ Sherat,154,2,163,Cinema @ Sherat | Cinema@Sheraton
3783,Brown @ Culliga,134,2,162,Brown @ Culliga | Brown@Culligan
4515,Dryden Rd @ Mt,149,2,160,Dryden Rd @ Mt | Dryden@MtPlsnt
5545,Regency @ Snyde,152,2,160,Regency @ Snyde | Rgncy@SnydrHil
710,Chestnut @ Hook,151,2,160,Chestnut @ Hook | Chestnut@Hook
5794,Boiceville @ Va,149,2,158,Boiceville @ Va | Boiceville@Vall
1557,Vet Medical Cen,145,2,155,Vet Medical Cen | Vet Med Center
731,Hector @ Warren,147,2,154,Hector @ Warren | Hector@WarrenPl
729,Warren Pl @ Hec,77,2,153,Warren Pl @ Hec | WarrenPl@Hector
780,Cliff @ Vinegar,130,2,149,Cliff @ Vinegar | Clif@VinegarHil
4359,South @ Main (G,123,2,142,South @ Main (G | South @ Main
317,Hudson at South,128,2,141,Hudson at South | SouthHillSchool
5785,Brooktondale St,128,2,140,Brooktondale St | Brktndale Store
2560,Trumansburg Rd,128,2,139,Trumansburg Rd | Tbrg@Dubois
3917,Winston @ Rose,118,2,137,Winston @ Rose | Winston@RoseHil
2574,Trumansburg Rd,133,2,136,Trumansburg Rd | Tbrg@KrumsCor
5525,318 Pine Tree -,129,2,135,318 Pine Tree - | PinTre@EquesCtr
3116,East Shore Dr @,114,2,134,East Shore Dr @ | EShore@Waterwag
2319,Mecklenburg Rd,116,2,132,Mecklenburg Rd | Mcklbrg@VanDorn
903,Cascadilla @ Ca,113,2,130,Cascadilla @ Ca | Cascadil@Cayug
3154,Lansing MS,108,2,128,Lansing MS | Lansing Middle
5542,Snyder Hill @ S,121,2,123,Snyder Hill @ S | SnydrHil@Sugarb
6329,Danby Rd @ Comf,115,2,122,Danby Rd @ Comf | DanbyRd@Comfort
3722,Warren @ Christ,103,2,112,Warren @ Christ | WarrenRd@Chris
4509,Dryden Rd @ For,96,2,112,Dryden Rd @ For | Dryd@ForestHome
2534,1229 Trumansbur,108,2,110,1229 Trumansbur | Tbrg@CayuRidge
4356,Peru Rd @ Hamil,101,2,110,Peru Rd @ Hamil | Peru @ Hamilton
4737,Lake @ Kimberly,99,2,110,Lake @ Kimberly | LakeRd@KmbrlyDr
2611,Trumansburg Rd,99,2,109,Trumansburg Rd | Tbrg ShrSav
1317,Highland @ Lake,101,2,107,Highland @ Lake | Highlnd@Lakelnd
722,Warren Pl @ Hoo,87,2,107,Warren Pl @ Hoo | WarrenPl@Hook
3763,Village Solars,103,2,106,Village Solars | VillageSolarS
6343,Danby Rd @ Mill,102,2,104,Danby Rd @ Mill | DanbyRd@Miller
706,Chestnut Hill A,97,2,103,Chestnut Hill A | ChestnutHilApts
927,Cascadilla @ Th,94,2,101,Cascadilla @ Th | Cascadlla@Third
115,State/MLK @ Alb,93,2,100,State/MLK @ Alb | State @ Albany
1378,Northway @ The,91,2,100,Northway @ The | Nrthway@Parkway
4710,Dryden Rd @ Geo,84,2,99,Dryden Rd @ Geo | Rt13@George
3313,Triphammer @ As,90,2,96,Triphammer @ As | Trip@Asbury
6357,Danby Rd @ Mich,93,2,96,Danby Rd @ Mich | Danby@MichgnHol
4355,Peru Rd @ Hamil,94,2,95,Peru Rd @ Hamil | Peru @ Hamilton
1363,Triphammer @ Oa,72,2,93,Triphammer @ Oa | Trip@OakHill
