route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,route_stop_group
17,998,TCAT Office,247,247,247,0,7,247,0,0.02834008097165992,False,exclude_or_sensitivity
36,3137,Lansing Twn Hl,247,247,210,37,1,210,37,0.004761904761904762,False,exclude_or_sensitivity
37,1703,State/MLK @ Qua,246,246,212,34,154,212,34,0.7264150943396226,False,exclude_or_sensitivity
37,3750,Borg Warner,246,246,246,0,0,246,0,0.0,False,exclude_or_sensitivity
37,1553,Boyce Thomp,243,243,238,5,212,238,5,0.8907563025210085,False,exclude_or_sensitivity
43,1546,Dairy Bar Acros,240,240,240,0,170,240,0,0.7083333333333334,False,exclude_or_sensitivity
43,1555,Vet School,239,239,239,0,187,239,0,0.7824267782426778,False,exclude_or_sensitivity
32,3744,Warren @ Northw,237,237,222,15,94,222,15,0.42342342342342343,False,exclude_or_sensitivity
43,4512,Varna,235,235,191,44,45,191,44,0.2356020942408377,False,exclude_or_sensitivity
20,679,State/MLK at In,233,233,233,0,5,233,0,0.02145922746781116,False,exclude_or_sensitivity
67,1726,Stewart @ Willi,232,232,232,0,168,232,0,0.7241379310344828,False,exclude_or_sensitivity
15,503,Clinton @ Fayet,216,216,197,19,37,197,19,0.18781725888324874,False,exclude_or_sensitivity
43,1701,State/MLK @ Ste,215,215,138,77,68,138,77,0.4927536231884058,True,exclude_or_sensitivity
51,1768,PineTree @ EHP,213,213,98,115,45,98,115,0.45918367346938777,True,exclude_or_sensitivity
20,1555,Vet School,211,211,211,0,87,211,0,0.41232227488151657,False,exclude_or_sensitivity
43,1544,Bradfield Hall,211,211,211,0,183,211,0,0.8672985781990521,False,exclude_or_sensitivity
67,512,Clinton @ Corn,210,210,101,109,16,101,109,0.15841584158415842,True,exclude_or_sensitivity
32,1702,State/MLK @ Ste,209,209,146,63,86,146,63,0.589041095890411,True,exclude_or_sensitivity
30,3516,Triphammer @ Sp,204,204,119,85,62,119,85,0.5210084033613446,True,exclude_or_sensitivity
11,361,S Hill Biz Pk,202,202,173,29,24,173,29,0.13872832369942195,False,exclude_or_sensitivity
17,165,Green Commons,202,202,116,86,38,116,86,0.3275862068965517,True,exclude_or_sensitivity
13,941,Cayuga Park Ln,198,198,169,29,1,169,29,0.005917159763313609,False,exclude_or_sensitivity
14,665,State @ Fulton,196,196,151,45,71,151,45,0.47019867549668876,False,exclude_or_sensitivity
32,1368,Triphammer @ Ir,196,196,153,43,106,153,43,0.6928104575163399,False,exclude_or_sensitivity
52,1553,Boyce Thomp,193,193,175,18,164,175,18,0.9371428571428572,False,exclude_or_sensitivity
90,1325,Thurston at Bal,190,190,0,190,0,0,190,,False,exclude_or_sensitivity
14,736,Linderman Creek,181,181,134,47,1,134,47,0.007462686567164179,False,exclude_or_sensitivity
15,523,Plain @ Wood,181,181,120,61,57,120,61,0.475,True,exclude_or_sensitivity
32,3557,Univ Pk Apts,179,179,140,39,39,140,39,0.2785714285714286,False,exclude_or_sensitivity
67,561,Elmira @ Meadow,176,176,109,67,55,109,67,0.5045871559633027,True,exclude_or_sensitivity
32,3524,Sheraton @ Trip,175,175,150,25,51,150,25,0.34,False,exclude_or_sensitivity
32,3784,Culligan @ Brow,175,175,172,3,14,172,3,0.08139534883720931,False,exclude_or_sensitivity
32,3790,Langmuir Lab,175,175,148,27,76,148,27,0.5135135135135135,False,exclude_or_sensitivity
22,2961,Taugh Park,174,174,174,0,8,174,0,0.04597701149425287,False,exclude_or_sensitivity
90,1328,Cradit Farm @ B,174,174,0,174,0,0,174,,False,exclude_or_sensitivity
67,531,Meadow @ Wood,169,169,78,91,39,78,91,0.5,True,exclude_or_sensitivity
90,112,Albany at Salva,169,169,0,169,0,0,169,,False,exclude_or_sensitivity
90,1332,McClintock Hall,169,169,0,169,0,0,169,,False,exclude_or_sensitivity
14S,2542,Overlook Apts,168,168,168,0,0,168,0,0.0,False,exclude_or_sensitivity
37,1713,Mitchell @ Coll,168,168,101,67,60,101,67,0.594059405940594,True,exclude_or_sensitivity
13,107,Cayuga @ Buffal,166,166,130,36,4,130,36,0.03076923076923077,False,exclude_or_sensitivity
11,323,Hudson @ Prsll,163,163,123,40,17,123,40,0.13821138211382114,False,exclude_or_sensitivity
20,2309,EcoVillage,163,163,163,0,1,163,0,0.006134969325153374,False,exclude_or_sensitivity
32,3523,Sheraton @ Trip,163,163,121,42,16,121,42,0.1322314049586777,False,exclude_or_sensitivity
52,1768,PineTree @ EHP,162,162,121,41,68,121,41,0.5619834710743802,False,exclude_or_sensitivity
11,112,Albany at Salva,160,160,76,84,21,76,84,0.27631578947368424,True,exclude_or_sensitivity
13,930,Third @ Hancock,160,160,133,27,2,133,27,0.015037593984962405,False,exclude_or_sensitivity
21,2628,Main @ Washingt,157,157,131,26,41,131,26,0.31297709923664124,False,exclude_or_sensitivity
51,1710,College @ Mitch,157,157,82,75,46,82,75,0.5609756097560976,True,exclude_or_sensitivity
30,3601,Triphammer @ Gr,156,156,102,54,29,102,54,0.28431372549019607,True,exclude_or_sensitivity
31,1314,Highland@Wyck,155,155,82,73,49,82,73,0.5975609756097561,True,exclude_or_sensitivity
37,3728,Warren at Warre,155,155,155,0,59,155,0,0.38064516129032255,False,exclude_or_sensitivity
52,1547,Dairy Bar,152,152,132,20,108,132,20,0.8181818181818182,False,exclude_or_sensitivity
40,1547,Dairy Bar,151,151,151,0,109,151,0,0.7218543046357616,False,exclude_or_sensitivity
13,1129,Lake St at Boyn,150,150,144,6,2,144,6,0.013888888888888888,False,exclude_or_sensitivity
13,1123,Falls @ Lake,147,147,121,26,2,121,26,0.01652892561983471,False,exclude_or_sensitivity
15,520,Plain @ Center,146,146,115,31,12,115,31,0.10434782608695652,False,exclude_or_sensitivity
43,1752,Humphreys Servi,146,146,39,107,26,39,107,0.6666666666666666,False,exclude_or_sensitivity
32,3781,Thornwood @ Bro,145,145,127,18,43,127,18,0.33858267716535434,False,exclude_or_sensitivity
30,3520,Triphammer @ Wi,144,144,116,28,45,116,28,0.3879310344827586,False,exclude_or_sensitivity
67,569,Elmira @ Spence,144,144,101,43,17,101,43,0.16831683168316833,False,exclude_or_sensitivity
67,565,323 Elmira Rd -,143,143,85,58,39,85,58,0.4588235294117647,True,exclude_or_sensitivity
20,672,Seneca @ Fulton,142,142,142,0,3,142,0,0.02112676056338028,False,exclude_or_sensitivity
21,113,Seneca @ Albany,141,141,106,35,7,106,35,0.0660377358490566,False,exclude_or_sensitivity
43,1540,Uris Hall Acros,141,141,141,0,95,141,0,0.6737588652482269,False,exclude_or_sensitivity
65,339,Roy Park IC,140,140,140,0,0,140,0,0.0,False,exclude_or_sensitivity
15,547,Fairgrounds Mem,139,139,76,63,21,76,63,0.27631578947368424,True,exclude_or_sensitivity
32,3521,Triphammer at K,139,139,37,102,4,37,102,0.10810810810810811,False,exclude_or_sensitivity
