source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
01,2025-01-14 20:39:51,2025-01-14 20:39:27,2025-01-14 20:39:51,,1603,83.0,30,1530,Anab Taylr Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 20:39:51,2025-01-14 20:39:27,2025-01-14 20:39:51,,1603,83.0,30,1530,Anab Taylr Hall,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:16:01,2025-02-13 08:16:01,2025-02-13 08:16:01,,2102,6.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:16:01,2025-02-13 08:16:01,2025-02-13 08:16:01,,2102,6.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:16:30,2025-02-13 08:16:30,2025-02-13 08:16:30,,2102,7.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:16:30,2025-02-13 08:16:30,2025-02-13 08:16:30,,2102,7.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:25:57,2025-02-13 08:25:57,2025-02-13 08:25:57,,2102,8.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:25:57,2025-02-13 08:25:57,2025-02-13 08:25:57,,2102,8.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:25:59,2025-02-13 08:25:59,2025-02-13 08:25:59,,2102,9.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:25:59,2025-02-13 08:25:59,2025-02-13 08:25:59,,2102,9.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:02,2025-02-13 08:26:02,2025-02-13 08:26:02,,2102,10.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:02,2025-02-13 08:26:02,2025-02-13 08:26:02,,2102,10.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:05,2025-02-13 08:26:05,2025-02-13 08:26:05,,2102,11.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:05,2025-02-13 08:26:05,2025-02-13 08:26:05,,2102,11.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:09,2025-02-13 08:26:09,2025-02-13 08:26:09,,2102,12.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:09,2025-02-13 08:26:09,2025-02-13 08:26:09,,2102,12.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:11,2025-02-13 08:26:11,2025-02-13 08:26:11,,2102,13.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:11,2025-02-13 08:26:11,2025-02-13 08:26:11,,2102,13.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:35,2025-02-13 08:26:35,2025-02-13 08:26:35,,2102,14.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:26:35,2025-02-13 08:26:35,2025-02-13 08:26:35,,2102,14.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:27:58,2025-02-13 08:27:58,2025-02-13 08:27:58,,2102,15.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:27:58,2025-02-13 08:27:58,2025-02-13 08:27:58,,2102,15.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:28:36,2025-02-13 08:28:36,2025-02-13 08:28:36,,2102,16.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:28:36,2025-02-13 08:28:36,2025-02-13 08:28:36,,2102,16.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:29:24,2025-02-13 08:29:24,2025-02-13 08:29:24,,2102,17.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:29:24,2025-02-13 08:29:24,2025-02-13 08:29:24,,2102,17.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:29:31,2025-02-13 08:29:31,2025-02-13 08:29:31,,2102,18.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:29:31,2025-02-13 08:29:31,2025-02-13 08:29:31,,2102,18.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:03,2025-02-13 08:31:03,2025-02-13 08:31:03,,2102,19.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:03,2025-02-13 08:31:03,2025-02-13 08:31:03,,2102,19.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:07,2025-02-13 08:31:07,2025-02-13 08:31:07,,2102,20.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:07,2025-02-13 08:31:07,2025-02-13 08:31:07,,2102,20.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:09,2025-02-13 08:31:09,2025-02-13 08:31:09,,2102,21.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:09,2025-02-13 08:31:09,2025-02-13 08:31:09,,2102,21.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:11,2025-02-13 08:31:11,2025-02-13 08:31:11,,2102,22.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:31:11,2025-02-13 08:31:11,2025-02-13 08:31:11,,2102,22.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:32:45,2025-02-13 08:32:45,2025-02-13 08:32:45,,2102,23.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:32:45,2025-02-13 08:32:45,2025-02-13 08:32:45,,2102,23.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:30,2025-02-13 08:33:30,2025-02-13 08:33:30,,2102,24.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:30,2025-02-13 08:33:30,2025-02-13 08:33:30,,2102,24.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:34,2025-02-13 08:33:34,2025-02-13 08:33:34,,2102,25.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:34,2025-02-13 08:33:34,2025-02-13 08:33:34,,2102,25.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:35,2025-02-13 08:33:35,2025-02-13 08:33:35,,2102,26.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:35,2025-02-13 08:33:35,2025-02-13 08:33:35,,2102,26.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:37,2025-02-13 08:33:37,2025-02-13 08:33:37,,2102,27.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:37,2025-02-13 08:33:37,2025-02-13 08:33:37,,2102,27.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:39,2025-02-13 08:33:39,2025-02-13 08:33:39,,2102,28.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:39,2025-02-13 08:33:39,2025-02-13 08:33:39,,2102,28.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:43,2025-02-13 08:33:43,2025-02-13 08:33:43,,2102,29.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:33:43,2025-02-13 08:33:43,2025-02-13 08:33:43,,2102,29.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:35:29,2025-02-13 08:35:29,2025-02-13 08:35:29,,2102,32.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:35:29,2025-02-13 08:35:29,2025-02-13 08:35:29,,2102,32.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:35:31,2025-02-13 08:35:31,2025-02-13 08:35:31,,2102,33.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:35:31,2025-02-13 08:35:31,2025-02-13 08:35:31,,2102,33.0,81,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 08:38:31,2025-02-13 08:38:31,2025-02-13 08:38:31,,2102,34.0,81,,,Special card,Cornell Card,Cornell,1
