route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,didisc_group
32,1704,State/MLK @ Qua,578,578,414,164,217,414,164,0.5241545893719807,True,exclude_or_sensitivity
40,1543,Corson/Mudd Hal,564,564,564,0,490,564,0,0.8687943262411347,False,exclude_or_sensitivity
30,3522,Triphammer at K,545,545,399,146,76,399,146,0.19047619047619047,True,exclude_or_sensitivity
17,100,Seneca Commons,538,538,215,323,78,215,323,0.3627906976744186,True,exclude_or_sensitivity
90,1715,CTown Crossing,534,534,0,534,0,0,534,,False,exclude_or_sensitivity
43,1542,Kennedy Hall,512,512,512,0,399,512,0,0.779296875,False,exclude_or_sensitivity
65,165,Green Commons,512,512,504,8,36,504,8,0.07142857142857142,False,exclude_or_sensitivity
90,1355,Jessup @ Tripha,491,491,0,491,0,0,491,,False,exclude_or_sensitivity
90,1703,State/MLK @ Qua,489,489,0,489,0,0,489,,False,exclude_or_sensitivity
65,1540,Uris Hall Acros,474,474,474,0,361,474,0,0.7616033755274262,False,exclude_or_sensitivity
90,100,Seneca Commons,474,474,0,474,0,0,474,,False,exclude_or_sensitivity
51,100,Seneca Commons,466,466,266,200,106,266,200,0.39849624060150374,True,exclude_or_sensitivity
67,1544,Bradfield Hall,457,457,457,0,417,457,0,0.912472647702407,False,exclude_or_sensitivity
15,559,Meadow at Ithac,452,452,275,177,62,275,177,0.22545454545454546,True,exclude_or_sensitivity
40,1533,Statler Hall,452,452,452,0,336,452,0,0.7433628318584071,False,exclude_or_sensitivity
30,3711,PleasGrove@Hans,429,429,301,128,129,301,128,0.42857142857142855,True,exclude_or_sensitivity
37,1541,Uris Hall,420,420,418,2,335,418,2,0.8014354066985646,False,exclude_or_sensitivity
67,559,Meadow at Ithac,419,419,208,211,108,208,211,0.5192307692307693,True,exclude_or_sensitivity
36,165,Green Commons,417,417,417,0,86,417,0,0.20623501199040767,False,exclude_or_sensitivity
15,134,McGraw House,412,412,343,69,63,343,69,0.1836734693877551,True,exclude_or_sensitivity
36,1533,Statler Hall,404,404,404,0,339,404,0,0.8391089108910891,False,exclude_or_sensitivity
30,1702,State/MLK @ Ste,397,397,196,201,66,196,201,0.336734693877551,True,exclude_or_sensitivity
31,1524,Goldwin Smith,388,388,289,99,134,289,99,0.46366782006920415,True,exclude_or_sensitivity
67,1540,Uris Hall Acros,384,384,384,0,289,384,0,0.7526041666666666,False,exclude_or_sensitivity
14S,679,State/MLK at In,377,377,377,0,13,377,0,0.034482758620689655,False,exclude_or_sensitivity
31,3511,Trip @ Hanshaw,375,375,297,78,121,297,78,0.4074074074074074,True,exclude_or_sensitivity
32,1357,Triphammer @ Je,370,370,189,181,112,189,181,0.5925925925925926,True,exclude_or_sensitivity
20,1542,Kennedy Hall,364,364,364,0,334,364,0,0.9175824175824175,False,exclude_or_sensitivity
67,1546,Dairy Bar Acros,358,358,358,0,304,358,0,0.8491620111731844,False,exclude_or_sensitivity
30,3584,YMCA,357,357,244,113,83,244,113,0.3401639344262295,True,exclude_or_sensitivity
67,112,Albany at Salva,354,354,214,140,35,214,140,0.16355140186915887,True,exclude_or_sensitivity
90,1345,Jess@PleasGrove,343,343,0,343,0,0,343,,False,exclude_or_sensitivity
90,1701,State/MLK @ Ste,341,341,0,341,0,0,341,,False,exclude_or_sensitivity
37,1547,Dairy Bar,334,334,333,1,284,333,1,0.8528528528528528,False,exclude_or_sensitivity
51,112,Albany at Salva,334,334,225,109,123,225,109,0.5466666666666666,True,exclude_or_sensitivity
10,1111,University @ Co,333,333,333,0,223,333,0,0.6696696696696697,False,exclude_or_sensitivity
15,527,215 Elmira Rd -,331,331,197,134,67,197,134,0.3401015228426396,True,exclude_or_sensitivity
51,5548,Snyder Hill @ H,328,328,298,30,240,298,30,0.8053691275167785,False,exclude_or_sensitivity
43,1725,Stewart @ Willi,323,323,229,94,121,229,94,0.5283842794759825,True,exclude_or_sensitivity
67,1555,Vet School,309,309,309,0,184,309,0,0.5954692556634305,False,exclude_or_sensitivity
20,1540,Uris Hall Acros,307,307,307,0,258,307,0,0.8403908794788274,False,exclude_or_sensitivity
32,3794,20 Thornwood Dr,287,287,275,12,48,275,12,0.17454545454545456,False,exclude_or_sensitivity
40,1725,Stewart @ Willi,285,285,285,0,225,285,0,0.7894736842105263,False,exclude_or_sensitivity
51,1714,Catherine Commo,284,284,129,155,77,129,155,0.5968992248062015,True,exclude_or_sensitivity
65,1544,Bradfield Hall,282,282,282,0,249,282,0,0.8829787234042553,False,exclude_or_sensitivity
15,551,Walmart South E,281,281,172,109,44,172,109,0.2558139534883721,True,exclude_or_sensitivity
37,1545,Bradfield Hall,278,278,272,6,247,272,6,0.9080882352941176,False,exclude_or_sensitivity
65,1555,Vet School,277,277,277,0,217,277,0,0.7833935018050542,False,exclude_or_sensitivity
21,2620,TBurg School,275,275,240,35,1,240,35,0.004166666666666667,False,exclude_or_sensitivity
10,1726,Stewart @ Willi,272,272,272,0,175,272,0,0.6433823529411765,False,exclude_or_sensitivity
31,1316,Highland @ Lake,272,272,181,91,101,181,91,0.5580110497237569,True,exclude_or_sensitivity
51,1774,E Hill Plaza,270,270,188,82,71,188,82,0.3776595744680851,True,exclude_or_sensitivity
32,1746,Ithaca @ Elmwoo,269,269,204,65,108,204,65,0.5294117647058824,True,exclude_or_sensitivity
37,1326,Risley Hall - S,264,264,264,0,213,264,0,0.8068181818181818,False,exclude_or_sensitivity
31,1325,Thurston at Bal,261,261,208,53,80,208,53,0.38461538461538464,True,exclude_or_sensitivity
82,1771,E Hill Office,256,256,232,24,175,232,24,0.7543103448275862,False,exclude_or_sensitivity
65,1546,Dairy Bar Acros,254,254,254,0,197,254,0,0.7755905511811023,False,exclude_or_sensitivity
90,1711,College @ Mitch,249,249,0,249,0,0,249,,False,exclude_or_sensitivity
17,998,TCAT Office,247,247,247,0,7,247,0,0.02834008097165992,False,exclude_or_sensitivity
36,3137,Lansing Twn Hl,247,247,210,37,1,210,37,0.004761904761904762,False,exclude_or_sensitivity
37,1703,State/MLK @ Qua,246,246,212,34,154,212,34,0.7264150943396226,False,exclude_or_sensitivity
37,3750,Borg Warner,246,246,246,0,0,246,0,0.0,False,exclude_or_sensitivity
37,1553,Boyce Thomp,244,244,239,5,213,239,5,0.891213389121339,False,exclude_or_sensitivity
43,1546,Dairy Bar Acros,240,240,240,0,170,240,0,0.7083333333333334,False,exclude_or_sensitivity
43,1555,Vet School,239,239,239,0,187,239,0,0.7824267782426778,False,exclude_or_sensitivity
32,3744,Warren @ Northw,237,237,222,15,94,222,15,0.42342342342342343,False,exclude_or_sensitivity
43,4512,Varna,235,235,191,44,45,191,44,0.2356020942408377,False,exclude_or_sensitivity
20,679,State/MLK at In,233,233,233,0,5,233,0,0.02145922746781116,False,exclude_or_sensitivity
67,1726,Stewart @ Willi,232,232,232,0,168,232,0,0.7241379310344828,False,exclude_or_sensitivity
15,503,Clinton @ Fayet,216,216,197,19,37,197,19,0.18781725888324874,False,exclude_or_sensitivity
43,1701,State/MLK @ Ste,215,215,138,77,68,138,77,0.4927536231884058,True,exclude_or_sensitivity
51,1768,PineTree @ EHP,214,214,98,116,45,98,116,0.45918367346938777,True,exclude_or_sensitivity
20,1555,Vet School,211,211,211,0,87,211,0,0.41232227488151657,False,exclude_or_sensitivity
43,1544,Bradfield Hall,211,211,211,0,183,211,0,0.8672985781990521,False,exclude_or_sensitivity
67,512,Clinton @ Corn,210,210,101,109,16,101,109,0.15841584158415842,True,exclude_or_sensitivity
32,1702,State/MLK @ Ste,209,209,146,63,86,146,63,0.589041095890411,True,exclude_or_sensitivity
30,3516,Triphammer @ Sp,204,204,119,85,62,119,85,0.5210084033613446,True,exclude_or_sensitivity
11,361,S Hill Biz Pk,202,202,173,29,24,173,29,0.13872832369942195,False,exclude_or_sensitivity
17,165,Green Commons,202,202,116,86,38,116,86,0.3275862068965517,True,exclude_or_sensitivity
13,941,Cayuga Park Ln,198,198,169,29,1,169,29,0.005917159763313609,False,exclude_or_sensitivity
14,665,State @ Fulton,196,196,151,45,71,151,45,0.47019867549668876,False,exclude_or_sensitivity
32,1368,Triphammer @ Ir,196,196,153,43,106,153,43,0.6928104575163399,False,exclude_or_sensitivity
52,1553,Boyce Thomp,193,193,175,18,164,175,18,0.9371428571428572,False,exclude_or_sensitivity
90,1325,Thurston at Bal,190,190,0,190,0,0,190,,False,exclude_or_sensitivity
14,736,Linderman Creek,181,181,134,47,1,134,47,0.007462686567164179,False,exclude_or_sensitivity
15,523,Plain @ Wood,181,181,120,61,57,120,61,0.475,True,exclude_or_sensitivity
32,3557,Univ Pk Apts,179,179,140,39,39,140,39,0.2785714285714286,False,exclude_or_sensitivity
67,561,Elmira @ Meadow,176,176,109,67,55,109,67,0.5045871559633027,True,exclude_or_sensitivity
32,3524,Sheraton @ Trip,175,175,150,25,51,150,25,0.34,False,exclude_or_sensitivity
32,3784,Culligan @ Brow,175,175,172,3,14,172,3,0.08139534883720931,False,exclude_or_sensitivity
32,3790,Langmuir Lab,175,175,148,27,76,148,27,0.5135135135135135,False,exclude_or_sensitivity
22,2961,Taugh Park,174,174,174,0,8,174,0,0.04597701149425287,False,exclude_or_sensitivity
90,1328,Cradit Farm @ B,174,174,0,174,0,0,174,,False,exclude_or_sensitivity
67,531,Meadow @ Wood,169,169,78,91,39,78,91,0.5,True,exclude_or_sensitivity
90,112,Albany at Salva,169,169,0,169,0,0,169,,False,exclude_or_sensitivity
90,1332,McClintock Hall,169,169,0,169,0,0,169,,False,exclude_or_sensitivity
14S,2542,Overlook Apts,168,168,168,0,0,168,0,0.0,False,exclude_or_sensitivity
37,1713,Mitchell @ Coll,168,168,101,67,60,101,67,0.594059405940594,True,exclude_or_sensitivity
13,107,Cayuga @ Buffal,166,166,130,36,4,130,36,0.03076923076923077,False,exclude_or_sensitivity
11,323,Hudson @ Prsll,163,163,123,40,17,123,40,0.13821138211382114,False,exclude_or_sensitivity
20,2309,EcoVillage,163,163,163,0,1,163,0,0.006134969325153374,False,exclude_or_sensitivity
32,3523,Sheraton @ Trip,163,163,121,42,16,121,42,0.1322314049586777,False,exclude_or_sensitivity
52,1768,PineTree @ EHP,162,162,121,41,68,121,41,0.5619834710743802,False,exclude_or_sensitivity
11,112,Albany at Salva,160,160,76,84,21,76,84,0.27631578947368424,True,exclude_or_sensitivity
13,930,Third @ Hancock,160,160,133,27,2,133,27,0.015037593984962405,False,exclude_or_sensitivity
21,2628,Main @ Washingt,157,157,131,26,41,131,26,0.31297709923664124,False,exclude_or_sensitivity
51,1710,College @ Mitch,157,157,82,75,46,82,75,0.5609756097560976,True,exclude_or_sensitivity
30,3601,Triphammer @ Gr,156,156,102,54,29,102,54,0.28431372549019607,True,exclude_or_sensitivity
31,1314,Highland@Wyck,155,155,82,73,49,82,73,0.5975609756097561,True,exclude_or_sensitivity
37,3728,Warren at Warre,155,155,155,0,59,155,0,0.38064516129032255,False,exclude_or_sensitivity
52,1547,Dairy Bar,152,152,132,20,108,132,20,0.8181818181818182,False,exclude_or_sensitivity
40,1547,Dairy Bar,151,151,151,0,109,151,0,0.7218543046357616,False,exclude_or_sensitivity
13,1129,Lake St at Boyn,150,150,144,6,2,144,6,0.013888888888888888,False,exclude_or_sensitivity
13,1123,Falls @ Lake,147,147,121,26,2,121,26,0.01652892561983471,False,exclude_or_sensitivity
15,520,Plain @ Center,146,146,115,31,12,115,31,0.10434782608695652,False,exclude_or_sensitivity
43,1752,Humphreys Servi,146,146,39,107,26,39,107,0.6666666666666666,False,exclude_or_sensitivity
32,3781,Thornwood @ Bro,145,145,127,18,43,127,18,0.33858267716535434,False,exclude_or_sensitivity
30,3520,Triphammer @ Wi,144,144,116,28,45,116,28,0.3879310344827586,False,exclude_or_sensitivity
67,569,Elmira @ Spence,144,144,101,43,17,101,43,0.16831683168316833,False,exclude_or_sensitivity
67,565,323 Elmira Rd -,143,143,85,58,39,85,58,0.4588235294117647,True,exclude_or_sensitivity
20,672,Seneca @ Fulton,142,142,142,0,3,142,0,0.02112676056338028,False,exclude_or_sensitivity
21,113,Seneca @ Albany,141,141,106,35,7,106,35,0.0660377358490566,False,exclude_or_sensitivity
43,1540,Uris Hall Acros,141,141,141,0,95,141,0,0.6737588652482269,False,exclude_or_sensitivity
65,339,Roy Park IC,140,140,140,0,0,140,0,0.0,False,exclude_or_sensitivity
15,547,Fairgrounds Mem,139,139,76,63,21,76,63,0.27631578947368424,True,exclude_or_sensitivity
32,3521,Triphammer at K,139,139,37,102,4,37,102,0.10810810810810811,False,exclude_or_sensitivity
43,100,Seneca Commons,138,138,138,0,65,138,0,0.47101449275362317,False,exclude_or_sensitivity
