Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
3526,Triphammer Mark,954,"30,36",325,18,0.34067085953878407,0.35953878406708595
3711,PlstGrv@Hanshaw,89,"30,37",30,4,0.33707865168539325,0.38202247191011235
511,Clinton W Plaza,36,67,12,0,0.3333333333333333,0.3333333333333333
2329,EnfieldElemntry,15,20,5,0,0.3333333333333333,0.3333333333333333
4716,Main@Rochester,15,43,5,0,0.3333333333333333,0.3333333333333333
3559,Uptwn@WarrenwAp,12,32,4,0,0.3333333333333333,0.3333333333333333
547,Fairgrnds@Lowes,12,15,4,0,0.3333333333333333,0.3333333333333333
5759,Caroline Town H,12,52,4,0,0.3333333333333333,0.3333333333333333
703,Chestnt@Sunrise,12,14,4,6,0.3333333333333333,0.8333333333333334
4570,Main @ Etna Ln ,6,40,2,0,0.3333333333333333,0.3333333333333333
5716,Slaterville Rd ,6,51,2,0,0.3333333333333333,0.3333333333333333
665,State/MLK @ Ful,6,14,2,0,0.3333333333333333,0.3333333333333333
6711,Elmira Rd @ Fiv,6,67,2,0,0.3333333333333333,0.3333333333333333
1138,East Shore @ Ja,3,36,1,0,0.3333333333333333,0.3333333333333333
1367,Triphamr@Irqois,3,32,1,0,0.3333333333333333,0.3333333333333333
3715,Hanshaw @ Black,3,31,1,0,0.3333333333333333,0.3333333333333333
3763,VillageSolarS,3,37,1,1,0.3333333333333333,0.6666666666666666
5718,Slaterville @ P,3,51,1,0,0.3333333333333333,0.3333333333333333
6351,DanbyTownHall,3,65,1,0,0.3333333333333333,0.3333333333333333
779,Cliff @ Vinegar,3,21,1,0,0.3333333333333333,0.3333333333333333
786,Tburg@Hopkins,3,21,1,1,0.3333333333333333,0.6666666666666666
327,Coddington@Huds,34,"11,65",11,0,0.3235294117647059,0.3235294117647059
2315,Mecklenburg Rd ,31,20,10,1,0.3225806451612903,0.3548387096774194
5785,Brooktondale St,84,52,27,0,0.32142857142857145,0.32142857142857145
4326,Rte38 @ Main (F,127,"40,43",40,0,0.31496062992125984,0.31496062992125984
