route,boards,cornell_card,cornell_override,other_fare,blank_or_got_fare,unique_stops,cornell_card_share,cornell_override_share,cornell_any_observed_share,sample
22,2936,117,8,2713,98,23,0.039850136239782015,0.0027247956403269754,0.04257493188010899,weekday_pre6
77,19,0,3,14,2,0,0.0,0.15789473684210525,0.15789473684210525,weekday_pre6
30,179952,132136,9919,27150,10747,45,0.7342846981417267,0.0551202542900329,0.7894049524317596,weekday_15_17
81,79031,71397,3042,3348,1244,27,0.9034049929774393,0.038491224962356546,0.9418962179397957,weekday_15_17
32,36847,28382,1152,5687,1626,73,0.7702662360572096,0.03126441772735908,0.8015306537845687,weekday_15_17
82,28253,24560,631,2617,445,27,0.8692882171804764,0.022333911443032598,0.891622128623509,weekday_15_17
51,21302,16883,421,2849,1149,56,0.7925546897004976,0.019763402497418082,0.8123180921979157,weekday_15_17
10,20866,16575,632,2679,980,13,0.7943544522189208,0.03028850762005176,0.8246429598389725,weekday_15_17
11,16329,1076,86,14032,1135,33,0.06589503337620185,0.00526670341110907,0.07116173678731091,weekday_15_17
15,14718,4643,265,6931,2879,23,0.31546405761652396,0.01800516374507406,0.33346922136159807,weekday_15_17
37,14346,11475,333,1966,572,57,0.7998745294855709,0.023212045169385194,0.823086574654956,weekday_15_17
43,13774,7409,244,4091,2030,77,0.537897488020909,0.017714534630463193,0.5556120226513721,weekday_15_17
21,11982,7393,116,3110,1363,49,0.6170088466032382,0.009681188449340678,0.6266900350525789,weekday_15_17
14,11118,1790,153,6840,2335,52,0.16100017988846915,0.013761467889908258,0.1747616477783774,weekday_15_17
67,8158,4858,85,2185,1030,43,0.5954890904633489,0.010419220397156165,0.605908310860505,weekday_15_17
31,7342,4792,1080,1001,469,44,0.6526831925905747,0.1470988831381095,0.7997820757286843,weekday_15_17
65,5598,3163,168,1724,543,56,0.5650232225794927,0.030010718113612004,0.5950339406931047,weekday_15_17
52,4708,3487,221,664,336,28,0.7406542056074766,0.046941376380628716,0.7875955819881053,weekday_15_17
40,4587,2938,129,875,645,47,0.6405057771964247,0.028122956180510136,0.6686287333769348,weekday_15_17
20,4008,2106,37,1023,842,38,0.5254491017964071,0.009231536926147704,0.5346806387225549,weekday_15_17
13,2785,166,721,1704,194,25,0.05960502692998205,0.25888689407540394,0.318491921005386,weekday_15_17
36,2732,1884,83,633,132,19,0.6896046852122987,0.030380673499267936,0.7199853587115667,weekday_15_17
14S,1523,93,3,802,625,32,0.06106369008535785,0.001969796454366382,0.06303348653972422,weekday_15_17
22,798,65,2,693,38,14,0.08145363408521303,0.002506265664160401,0.08395989974937343,weekday_15_17
17,543,307,11,163,62,15,0.565377532228361,0.020257826887661142,0.585635359116022,weekday_15_17
30,150910,98283,27598,10882,14147,45,0.6512689682592273,0.18287721158306275,0.8341461798422901,weekday_18_20
81,36886,30517,4661,635,1073,27,0.8273328634170146,0.1263623054817546,0.9536951688987692,weekday_18_20
90,27464,18256,7301,1136,771,28,0.6647247305563647,0.26583891639965046,0.9305636469560151,weekday_18_20
32,21422,16710,2115,1822,775,64,0.780039212025021,0.09873027728503407,0.878769489310055,weekday_18_20
51,15563,11178,1967,1149,1269,56,0.7182419841932789,0.1263895135899248,0.8446314977832038,weekday_18_20
82,14570,12012,1552,780,226,26,0.8244337680164722,0.10652024708304736,0.9309540150995196,weekday_18_20
11,10988,1149,122,9123,594,33,0.10456862031306881,0.011103021477975974,0.11567164179104478,weekday_18_20
92,10818,6115,3523,179,1001,21,0.5652616010353115,0.3256609354779072,0.8909225365132187,weekday_18_20
15,7567,2981,560,2721,1305,23,0.393947403198097,0.07400555041628122,0.4679529536143782,weekday_18_20
14,6198,936,121,3743,1398,43,0.1510164569215876,0.01952242658922233,0.17053888351080995,weekday_18_20
43,4173,1877,195,1262,839,55,0.4497963096093937,0.04672897196261682,0.49652528157201054,weekday_18_20
31,3192,1971,516,412,293,33,0.6174812030075187,0.16165413533834586,0.7791353383458647,weekday_18_20
37,2357,1733,298,123,203,32,0.7352566822231651,0.12643190496393722,0.8616885871871023,weekday_18_20
67,2140,678,172,737,553,34,0.3168224299065421,0.08037383177570094,0.397196261682243,weekday_18_20
21,1855,500,80,797,478,43,0.2695417789757412,0.0431266846361186,0.31266846361185985,weekday_18_20
52,1783,978,196,434,175,29,0.5485137408861469,0.10992708917554683,0.6584408300616937,weekday_18_20
13,868,38,308,452,70,24,0.04377880184331797,0.3548387096774194,0.3986175115207373,weekday_18_20
65,419,143,21,155,100,18,0.3412887828162291,0.050119331742243436,0.3914081145584726,weekday_18_20
10,418,214,63,105,36,0,0.5119617224880383,0.1507177033492823,0.6626794258373205,weekday_18_20
17,267,123,17,94,33,5,0.4606741573033708,0.06367041198501873,0.5243445692883895,weekday_18_20
40,234,86,6,66,76,23,0.36752136752136755,0.02564102564102564,0.39316239316239315,weekday_18_20
